# t/tauB	proportion
1.452444444444444343e+03 1.803899999999999948e-01
1.459111111111111086e+03 1.819160000000000221e-01
1.465777777777777828e+03 1.845229999999999926e-01
1.472444444444444343e+03 1.866639999999999966e-01
1.479111111111111086e+03 1.910749999999999948e-01
1.485777777777777828e+03 1.886799999999999866e-01
1.492444444444444343e+03 1.896889999999999965e-01
1.499111111111111086e+03 1.895669999999999855e-01
1.505777777777777828e+03 1.939990000000000048e-01
1.512444444444444343e+03 1.941730000000000123e-01
1.519111111111111086e+03 1.953730000000000189e-01
1.525777777777777828e+03 1.982470000000000065e-01
1.532444444444444343e+03 2.028030000000000110e-01
1.539111111111111086e+03 2.033340000000000147e-01
1.545777777777777828e+03 2.021189999999999931e-01
1.552444444444444343e+03 2.032599999999999962e-01
1.559111111111111086e+03 2.063610000000000166e-01
1.565777777777777828e+03 2.100599999999999967e-01
1.572444444444444343e+03 2.116959999999999953e-01
1.579111111111111086e+03 2.146699999999999997e-01
1.585777777777777828e+03 2.187040000000000095e-01
1.592444444444444343e+03 2.155739999999999879e-01
1.599111111111111086e+03 2.169949999999999934e-01
1.605777777777777828e+03 2.198319999999999996e-01
1.612444444444444343e+03 2.202399999999999913e-01
1.619111111111111086e+03 2.220920000000000116e-01
1.625777777777777828e+03 2.235199999999999965e-01
1.632444444444444343e+03 2.254059999999999953e-01
1.639111111111111086e+03 2.248990000000000156e-01
1.645777777777777828e+03 2.275090000000000168e-01
1.652444444444444343e+03 2.290940000000000198e-01
1.659111111111111086e+03 2.327639999999999987e-01
1.665777777777777828e+03 2.341129999999999878e-01
1.672444444444444343e+03 2.341749999999999943e-01
1.679111111111111086e+03 2.348129999999999939e-01
1.685777777777777828e+03 2.361840000000000050e-01
1.692444444444444343e+03 2.388210000000000055e-01
1.699111111111111086e+03 2.431750000000000023e-01
1.705777777777777828e+03 2.429430000000000200e-01
1.712444444444444343e+03 2.464979999999999949e-01
1.719111111111111086e+03 2.501010000000000177e-01
1.725777777777777828e+03 2.539019999999999611e-01
1.732444444444444343e+03 2.548500000000000210e-01
1.739111111111111086e+03 2.570899999999999852e-01
1.745777777777777828e+03 2.625910000000000188e-01
1.752444444444444343e+03 2.609560000000000213e-01
1.759111111111111086e+03 2.603809999999999736e-01
1.765777777777777828e+03 2.661649999999999849e-01
1.772444444444444343e+03 2.628130000000000188e-01
1.779111111111111086e+03 2.635999999999999455e-01
1.785777777777777828e+03 2.685810000000000142e-01
1.792444444444444343e+03 2.694929999999999826e-01
